,Meiobenthos,Bottlenose dolphins,Import,Offshore pelagic invertivores large,Slope small demersal piscivores,Shelf small demersal omnivores,Small petrels,Anchovy and other small pelagics,Seagrass,Baleen whales,Shelf demersal sharks,Detritus POM,Small phytoplankton,Octopus shelf,Squid & cuttlefish shelf,Shelf small demersal piscivores,Gulls,Skates and rays,Shelf large demersal piscivores,Shelf large demersal omnivores,Offshore pelagic piscivores,Mesozooplankton,Deep filter feeders,Slope small demersal invertivores,Detritus,Shags and cormorants,Garfish,Microzooplankton,Mackerels,Migratory mesopelagics,Macroalgae,Slope large demersal omnivores,Shelf pelagic sharks,Long-nosed fur seal,Deep macrozoobenthos,Non-migrating mesopelagics,Deep squid,Gelatinous zooplankton,Common dolphins,Shearwaters,Redbait,Toothed whales,Benthic carnivores (infauna),Benthic grazers,Tunas and billfish,Shelf filter feeders,Gannets,Benthic detritivore,Pelagic bacteria,Large phytoplankton,Rock lobster,Little Penguins,Australian fur seal,Large zooplankton,Crabs & bugs,Deep demersal sharks,Offshore pelagic sharks,Australian sea lion,Shelf macrozoobenthos,Albatross,Western king prawn,Shelf large pelagic piscivores
Shelf filter feeders,0.0,0.0,0.0,0.02,0.0,0.06122448979591835,0.05,0.15,0.0,0.0,0.037974683544303785,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.009999999999999998,0.0,0.05050505050505048,0.0,0.0,0.025157232704402507,0.1685393258426966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.03529411764705881,0.0,0.0,0.0,0.009900990099009901,0.02,0.0,0.0,0.0,0.04,0.0,0.009999999999999998,0.0,0.17,0.0,0.0,0.37,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.07999999999999996,0.020618556701030924,0.0,0.0
Gannets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic detritivore,0.0,0.0,0.0,0.0,0.0,0.07653061224489795,0.03,0.0,0.0,0.0,0.01265822784810126,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999999999997,0.0,0.03030303030303029,0.0,0.0,0.025157232704402507,0.19101123595505617,0.0,0.0,0.0,0.0,0.04395604395604395,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.0,0.06999999999999998,0.0,0.0,0.0
Pelagic bacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large phytoplankton,0.0,0.0,0.0,0.0,0.0,0.005102040816326529,0.0,0.25,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06289308176100628,0.0,0.0,0.0,0.0,0.29,0.0,0.30999999999999994,0.0,0.0,0.0,0.0,0.16470588235294112,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.0,0.33,0.0,0.318,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.16999999999999993,0.0,0.25,0.0
Rock lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.031249999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.13,0.0,0.03999999999999998,0.0,0.03,0.0,0.0,0.12000000000000002,0.0,0.0,0.0,0.0
Little Penguins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,0.0
Australian fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003690036900369003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large zooplankton,0.0,0.02,0.0,0.02,0.22033898305084743,0.13265306122448978,0.2,0.1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.06999999999999999,0.14999999999999997,0.0,0.07070707070707068,0.09523809523809523,0.1,0.05031446540880501,0.11235955056179775,0.0,0.0,0.0,0.0,0.03296703296703296,0.19999999999999996,0.0,0.09999999999999998,0.02460024600246002,0.1,0.11764705882352937,0.1,0.04950495049504951,0.02,0.009900990099009901,0.12,0.22,0.04,0.0,0.0,0.15,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.1,0.08,0.05,0.0,0.0,0.06999999999999998,0.07216494845360824,0.0,0.08823529411764705
Crabs & bugs,0.0,0.0,0.0,0.23,0.016949152542372878,0.040816326530612235,0.02,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.08333333333333331,0.0,0.039999999999999994,0.07999999999999999,0.039999999999999994,0.09,0.07070707070707068,0.019047619047619046,0.0,0.012578616352201253,0.011235955056179773,0.0,0.1,0.0,0.0,0.03296703296703296,0.0,0.0,0.0,0.03690036900369003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.03,0.05,0.08000000000000002,0.0,0.0,0.0,0.047058823529411764
Deep demersal sharks,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01230012300123001,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Offshore pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
Australian sea lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003690036900369003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf macrozoobenthos,0.0,0.07,0.0,0.04,0.016949152542372878,0.06122448979591835,0.0,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.5416666666666666,0.0,0.039999999999999994,0.04999999999999999,0.09999999999999998,0.07,0.09090909090909087,0.019047619047619046,0.08,0.012578616352201253,0.011235955056179773,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.04,0.08235294117647056,0.01,0.009900990099009901,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.12,0.03,0.08000000000000002,0.0,0.0,0.0,0.011764705882352941
Albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western king prawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.0,0.06999999999999999,0.0,0.04999999999999999,0.02,0.03030303030303029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.23,0.0,0.0,0.0,0.0,0.0
Shelf large pelagic piscivores,0.0,0.0,0.0,0.02,0.033898305084745756,0.0,0.0,0.0,0.0,0.02,0.05063291139240504,0.0,0.0,0.0,0.0,0.04999999999999999,0.14999999999999997,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.0,0.0,0.0,0.12300123001230011,0.08,0.0,0.0,0.009900990099009901,0.0,0.04950495049504951,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.14999999999999994,0.0,0.0,0.08,0.15,0.08000000000000002,0.0,0.0824742268041237,0.0,0.0
