,Offshore pelagic invertivores large,Australian sea lion,Australian fur seal,Crabs & bugs,Large zooplankton,Long-nosed fur seal,Deep squid,Benthic grazers,Non-migrating mesopelagics,Octopus shelf,Benthic carnivores (infauna),Shelf macrozoobenthos,Seagrass,Skates and rays,Redbait,Baleen whales,Slope small demersal invertivores,Shelf small demersal piscivores,Toothed whales,Shelf large demersal piscivores,Rock lobster,Garfish,Gannets,Microzooplankton,Detritus POM,Slope small demersal piscivores,Shelf filter feeders,Squid & cuttlefish shelf,Detritus,Gulls,Shelf large pelagic piscivores,Little Penguins,Migratory mesopelagics,Albatross,Import,Meiobenthos,Benthic detritivore,Offshore pelagic piscivores,Large phytoplankton,Deep macrozoobenthos,Gelatinous zooplankton,Tunas and billfish,Mackerels,Western king prawn,Deep demersal sharks,Shelf demersal sharks,Slope large demersal omnivores,Small phytoplankton,Shelf small demersal omnivores,Bottlenose dolphins,Small petrels,Macroalgae,Anchovy and other small pelagics,Common dolphins,Shelf pelagic sharks,Shags and cormorants,Shearwaters,Offshore pelagic sharks,Pelagic bacteria,Deep filter feeders,Mesozooplankton,Shelf large demersal omnivores
Deep demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
Shelf demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15972222222222224,0.0,0.0,0.0,0.0
Slope large demersal omnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small phytoplankton,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.12,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.17,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Shelf small demersal omnivores,0.0,0.08,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.05617977528089887,0.0,0.0,0.0,0.02499999999999999,0.0,0.0,0.0,0.52,0.08163265306122447,0.15151515151515144,0.0,0.2,0.02,0.01,0.0,0.02,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.010989010989010988,0.0,0.04999999999999998,0.125,0.0,0.0,0.009999999999999998,0.1,0.04,0.0,0.0,0.10891089108910891,0.019999999999999997,0.0,0.04,0.0,0.0,0.0,0.0,0.07920792079207917
Bottlenose dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small petrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.59,0.01,0.0,0.0,0.13999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010097,0.05,0.075,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666668,0.0,0.037499999999999985,0.0,0.009900990099009896
Anchovy and other small pelagics,0.0,0.12,0.08,0.0,0.0,0.0,0.009900990099009901,0.0,0.01,0.0,0.0,0.0,0.0,0.04374999999999999,0.0,0.08,0.0,0.02,0.0,0.045454545454545435,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.25999999999999995,0.3499999999999999,0.25510204081632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.09890109890109888,0.0,0.05999999999999997,0.08333333333333334,0.0,0.0,0.0,0.06,0.08,0.0,0.019801980198019802,0.01485148514851485,0.04999999999999999,0.35,0.15,0.02777777777777778,0.0,0.0,0.0,0.019801980198019792
Common dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf pelagic sharks,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shags and cormorants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shearwaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07986111111111112,0.0,0.0,0.0,0.0
Pelagic bacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.03,0.0
Deep filter feeders,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499999999999995,0.0,0.0
Mesozooplankton,0.15,0.0,0.0,0.06,0.15,0.0,0.009900990099009901,0.0,0.17,0.04494382022471909,0.0,0.10999999999999995,0.0,0.0,0.22,0.2,0.12999999999999998,0.05,0.0,0.03535353535353534,0.0,0.35,0.0,0.02,0.0,0.07,0.25,0.33,0.0,0.039999999999999994,0.06999999999999999,0.030612244897959183,0.3409090909090909,0.0,0.0,0.125,0.0,0.023529411764705882,0.0,0.09999999999999998,0.33,0.0,0.5604395604395603,0.0,0.03999999999999998,0.0,0.059999999999999984,0.0,0.23999999999999994,0.0,0.1,0.0,0.37623762376237624,0.10891089108910891,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.1,0.059405940594059375
Shelf large demersal omnivores,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05050505050505048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049504950495049486
