,Rock lobster,Slope small demersal piscivores,Long-nosed fur seal,Macroalgae,Slope small demersal invertivores,Seagrass,Detritus,Import,Slope large demersal omnivores,Octopus shelf,Shelf filter feeders,Tunas and billfish,Migratory mesopelagics,Shelf small demersal omnivores,Shelf large pelagic piscivores,Skates and rays,Shelf pelagic sharks,Benthic carnivores (infauna),Garfish,Squid & cuttlefish shelf,Benthic detritivore,Shearwaters,Little Penguins,Detritus POM,Gelatinous zooplankton,Baleen whales,Small petrels,Gulls,Western king prawn,Large zooplankton,Shags and cormorants,Bottlenose dolphins,Anchovy and other small pelagics,Shelf small demersal piscivores,Gannets,Pelagic bacteria,Common dolphins,Shelf demersal sharks,Benthic grazers,Deep demersal sharks,Small phytoplankton,Large phytoplankton,Deep filter feeders,Redbait,Crabs & bugs,Shelf macrozoobenthos,Microzooplankton,Offshore pelagic invertivores large,Non-migrating mesopelagics,Deep squid,Deep macrozoobenthos,Albatross,Offshore pelagic sharks,Offshore pelagic piscivores,Australian fur seal,Meiobenthos,Toothed whales,Shelf large demersal omnivores,Mackerels,Shelf large demersal piscivores,Mesozooplankton,Australian sea lion
Crabs & bugs,0.0,0.010526315789473682,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.3484848484848484,0.0,0.029999999999999992,0.0,0.018691588785046724,0.08,0.031249999999999986,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.1,0.22673267326732674,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04166666666666665,0.0,0.0,0.012499999999999995,0.0,0.08,0.0,0.0,0.396551724137931,0.0,0.0,0.019999999999999997,0.0,0.039999999999999994,0.009999999999999998,0.0,0.0,0.0,0.07999999999999996,0.03296703296703296,0.08,0.0,0.11999999999999997
Shelf macrozoobenthos,0.15,0.0,0.02898550724637681,0.0,0.05,0.0,0.0,0.0,0.029999999999999992,0.060606060606060594,0.0,0.0,0.0,0.03738317757009345,0.03,0.07291666666666664,0.023076923076923068,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.07999999999999999,0.1,0.02,0.02,0.019801980198019802,0.005,0.047058823529411764,0.0,0.0,0.0,0.13186813186813184,0.0,0.10416666666666663,0.0,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.010416666666666664,0.06999999999999999,0.0,0.029999999999999992,0.029999999999999992,0.0,0.0,0.0,0.08999999999999996,0.0,0.05,0.0,0.07999999999999999
Microzooplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.33,0.0,0.0,0.0,0.06593406593406591,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Offshore pelagic invertivores large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-migrating mesopelagics,0.0,0.010526315789473682,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.015151515151515148,0.0,0.0,0.009999999999999998,0.018691588785046724,0.07,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.1,0.075,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.22673267326732674,0.0,0.09411764705882353,0.0,0.0,0.04950495049504951,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.1,0.05208333333333333,0.07999999999999999,0.1,0.004999999999999999,0.07999999999999999,0.02325581395348837,0.0,0.04761904761904761,0.07999999999999996,0.07692307692307691,0.11,0.0,0.0
Deep squid,0.0,0.0,0.17391304347826084,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.24999999999999994,0.019999999999999997,0.0,0.0,0.04166666666666665,0.10769230769230767,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.04,0.15,0.0,0.0,0.0,0.0,0.04455445544554455,0.0,0.0,0.02,0.0,0.10891089108910891,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09374999999999997,0.10999999999999997,0.35,0.0,0.04999999999999999,0.09302325581395347,0.0,0.19999999999999996,0.05999999999999997,0.0,0.0,0.0,0.0
Deep macrozoobenthos,0.0,0.45263157894736833,0.0,0.0,0.03,0.0,0.0,0.0,0.06999999999999999,0.015151515151515148,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028205128205128195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016831683168316833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.02325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic piscivores,0.0,0.0,0.05797101449275362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.020833333333333325,0.03589743589743589,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.01089108910891089,0.0,0.0,0.04,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031249999999999993,0.029999999999999992,0.15,0.0,0.0,0.09302325581395347,0.0,0.038095238095238085,0.0,0.0,0.1,0.0,0.0
Australian fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619042,0.0,0.0,0.0,0.0,0.0
Shelf large demersal omnivores,0.0,0.021052631578947364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05494505494505494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
Mackerels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04358974358974358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.009900990099009901,0.0,0.0,0.04166666666666665,0.0,0.0,0.007499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.02325581395348837,0.0,0.028571428571428564,0.0,0.0,0.0,0.0,0.0
Shelf large demersal piscivores,0.0,0.021052631578947364,0.05797101449275362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.04999999999999999,0.0,0.0,0.04166666666666665,0.07948717948717945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.0,0.09411764705882353,0.03,0.0,0.0297029702970297,0.05494505494505494,0.0,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.0,0.0,0.0,0.059999999999999984,0.1627906976744186,0.05,0.05714285714285713,0.03999999999999998,0.010989010989010988,0.0,0.0,0.11999999999999997
Mesozooplankton,0.0,0.07368421052631578,0.0,0.0,0.23,0.0,0.0,0.0,0.029999999999999992,0.060606060606060594,0.26041666666666663,0.019999999999999997,0.14999999999999997,0.4112149532710279,0.075,0.0,0.0,0.0,0.0,0.33,0.0,0.05,0.0,0.0,0.3736263736263736,0.2,0.12,0.029999999999999992,0.0,0.15,0.0,0.0,0.38,0.07058823529411763,0.0,0.0,0.0,0.0,0.0,0.052083333333333315,0.0,0.0,0.6999999999999998,0.2,0.06,0.10999999999999997,0.005000000000000001,0.2586206896551724,0.17,0.010416666666666664,0.09999999999999998,0.0,0.0,0.14999999999999997,0.0,0.15,0.0,0.06999999999999998,0.5604395604395603,0.0,0.08,0.0
Australian sea lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
