,Shelf small demersal piscivores,Anchovy and other small pelagics,Shelf large demersal omnivores,Squid & cuttlefish shelf,Mesozooplankton,Detritus POM,Redbait,Slope small demersal invertivores,Shelf pelagic sharks,Migratory mesopelagics,Microzooplankton,Pelagic bacteria,Large zooplankton,Non-migrating mesopelagics,Gulls,Deep demersal sharks,Skates and rays,Slope large demersal omnivores,Meiobenthos,Mackerels,Benthic grazers,Shelf macrozoobenthos,Deep squid,Toothed whales,Small phytoplankton,Shearwaters,Garfish,Common dolphins,Western king prawn,Benthic detritivore,Shelf large demersal piscivores,Slope small demersal piscivores,Tunas and billfish,Benthic carnivores (infauna),Long-nosed fur seal,Deep filter feeders,Shelf filter feeders,Rock lobster,Little Penguins,Offshore pelagic invertivores large,Bottlenose dolphins,Gannets,Seagrass,Baleen whales,Gelatinous zooplankton,Shags and cormorants,Small petrels,Large phytoplankton,Import,Shelf small demersal omnivores,Australian fur seal,Deep macrozoobenthos,Macroalgae,Albatross,Shelf demersal sharks,Australian sea lion,Offshore pelagic sharks,Detritus,Shelf large pelagic piscivores,Octopus shelf,Offshore pelagic piscivores,Crabs & bugs
Gelatinous zooplankton,0.04999999999999999,0.009900990099009901,0.02777777777777777,0.0,0.05,0.0,0.0,0.07999999999999999,0.0,0.1988304093567251,0.0,0.0,0.011049723756906075,0.05,0.01999999999999999,0.02105263157894736,0.019999999999999997,0.0,0.0,0.05494505494505494,0.01,0.029999999999999992,0.009900990099009901,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06779661016949151,0.009999999999999998,0.0,0.0,0.006451612903225805,0.02,0.0,0.010309278350515464,0.1,0.0,0.0,0.0,0.08,0.039999999999999994,0.0,0.08,0.0,0.0,0.020833333333333332,0.0,0.06122448979591835,0.0,0.0,0.021505376344086016,0.0,0.0,0.0,0.04444444444444444,0.009523809523809521,0.13999999999999999,0.0
Shags and cormorants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small petrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
Large phytoplankton,0.0,0.04950495049504951,0.0,0.0,0.35,0.0,0.05,0.039999999999999994,0.0,0.005847953216374268,0.59,0.0,0.25414364640883974,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.17,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.0,0.06451612903225805,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899999999999999,0.0,0.0,0.6808510638297872,0.0,0.13541666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555555,0.0,0.0,0.0
Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf small demersal omnivores,0.0,0.0,0.05555555555555554,0.3,0.0,0.0,0.0,0.019999999999999997,0.054054054054054036,0.0,0.02,0.0,0.0,0.0,0.0,0.052631578947368404,0.0,0.0,0.0,0.010989010989010988,0.0,0.0,0.009900990099009901,0.06999999999999999,0.0,0.0,0.6,0.0,0.0,0.0,0.12499999999999997,0.033898305084745756,0.029999999999999992,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.0,0.0,0.0,0.04,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.05
Australian fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep macrozoobenthos,0.019999999999999997,0.0,0.02777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374268,0.0,0.0,0.0,0.19,0.0,0.03157894736842104,0.0,0.07526881720430106,0.0,0.0,0.0,0.19999999999999996,0.5742574257425742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571425,0.0,0.08
Macroalgae,0.0,0.0,0.013888888888888885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.005524861878453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03870967741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.15
Albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086016,0.0,0.12999999999999998,0.0,0.0,0.0,0.0,0.0
Australian sea lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.04,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.34,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02
Shelf large pelagic piscivores,0.0,0.0,0.013888888888888885,0.0,0.0,0.0,0.0,0.0,0.27027027027027023,0.0,0.0,0.0,0.0,0.0,0.15999999999999992,0.08421052631578944,0.0,0.0,0.0,0.07692307692307691,0.0,0.0,0.009900990099009901,0.029999999999999992,0.0,0.0,0.0,0.05,0.0,0.0,0.019999999999999997,0.033898305084745756,0.14999999999999997,0.0,0.048076923076923066,0.0,0.0,0.0,0.0,0.02,0.25,0.17,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.08,0.14999999999999997,0.0,0.0,0.0,0.06999999999999999,0.0
Octopus shelf,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03157894736842104,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.057692307692307675,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04301075268817203,0.2,0.0,0.0,0.0,0.04761904761904761,0.029999999999999992,0.0
Offshore pelagic piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.04999999999999999,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.048076923076923066,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.030612244897959176,0.0,0.0,0.032258064516129024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crabs & bugs,0.039999999999999994,0.0049504950495049506,0.04166666666666665,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.03157894736842104,0.029999999999999992,0.0,0.0,0.03296703296703296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.016949152542372878,0.0,0.0,0.019230769230769225,0.01290322580645161,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.020408163265306117,0.0,0.0,0.11827956989247308,0.1,0.07999999999999999,0.0,0.07777777777777778,0.07619047619047617,0.019999999999999997,0.03
